"workerID","trial","time","list","condition","item","slider1","slider2","slider3","slider4","slider5","slider6","slider7","slider8","slider9","slider10","slider11","slider12","slider13","slider14","slider15"
1,NA,1417016204755,2,"many","bas",0.03,0.02,0.02,0.05,0.01,0.29,0.5,0.7,0.56,0.37,0.21,0.03,0,0,0
1,NA,1417016233051,2,"none","edu",0,0,0,0,0.48,0.72,0.72,0.71,0,0,0,0,0,0,0
1,NA,1417016255194,2,"none","tv",0.68,0.72,0.72,0.71,0.46,0.24,0.19,0.07,0,0,0,0,0,0,0
1,NA,1417016271242,2,"few","poem",0.73,0.76,0.63,0.39,0,0,0.02,0.02,0.03,0.02,0.02,0.01,0.03,0.03,0.03
1,NA,1417016289849,2,"few","hair",0.5,0.61,0.79,0.76,0.62,0.44,0.33,0.1,0.03,0.01,0.02,0.01,0.01,0.01,0.02
1,NA,1417016306706,2,"few","girl",0.72,0.67,0.58,0.45,0.24,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02
1,NA,1417016326353,2,"few","bur",0.76,0.66,0.5,0.43,0.18,0.01,0.03,0,0.02,0.02,0.02,0.01,0,0.02,0.01
1,NA,1417016344299,2,"none","move",0.02,0.02,0.03,0.02,0.02,0.18,0.3,0.5,0.37,0.11,0.01,0.01,0.01,0.02,0.01
1,NA,1417016363723,2,"many","book",0.58,0.7,0.82,0.79,0.74,0.59,0.35,0.21,0.16,0.06,0.02,0,0.01,0.01,0.02
1,NA,1417016383403,2,"many","mov",0.58,0.67,0.75,0.82,0.77,0.78,0.82,0.61,0.45,0.36,0.21,0.1,0.04,0.02,0.01
1,NA,1417016403907,2,"none","eat",0.61,0.72,0.8,0.71,0.56,0.31,0.03,0.07,0.01,0.02,0.01,0.03,0.01,0.01,0.02
1,NA,1417016424643,2,"many","cig",0.55,0.65,0.75,0.86,0.9,0.91,0.73,0.6,0.49,0.33,0.22,0.14,0.06,0.01,0.01
1,NA,1417016442987,2,"none","trav",0.57,0.7,0.8,0.88,0.79,0.68,0.5,0.29,0.12,0.05,0.02,0.01,0.02,0.03,0.02
1,NA,1417016466867,2,"many","kid",0,0,0.5,0.69,0.81,0.66,0.35,0.14,0.02,0.03,0.03,0.02,0.02,0.04,0.03
1,NA,1417016485979,2,"few","shoe",0.61,0.77,0.9,0.77,0.63,0.55,0.23,0.01,0.01,0.02,0.01,0.02,0.03,0,0.02
2,NA,1417001134224,2,"none","edu",0,0,0,0.25,0.72,0.99,0.95,0.71,0.22,0.23,0,0,0,0,0
2,NA,1417001161537,2,"many","kid",0,0,0,0.23,0.72,0.97,0.45,0.15,0,0,0,0,0,0,0
2,NA,1417001184169,2,"few","bur",0.99,0.72,0.27,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,1417001205509,2,"few","shoe",0.99,0.34,0.24,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,1417001225395,2,"few","hair",0.5,0.71,0.5,0.24,0,0,0,0,0,0,0,0,0,0,0
2,NA,1417001252121,2,"none","tv",0.03,0,0.24,0.24,0.5,0.5,0.99,0.76,0.49,0.5,0.26,0,0,0,0
2,NA,1417001272963,2,"few","girl",0.68,0.67,0.5,0.16,0,0,0,0,0,0,0,0,0,0,0
2,NA,1417001292551,2,"many","cig",0.66,0.63,0.22,0,0,0,0,0,0,0,0,0,0,0,0
2,NA,1417001320000,2,"many","mov",0,0,0.49,0.99,0.65,0.5,0.23,0,0,0,0,0,0,0,0
2,NA,1417001348479,2,"none","move",0,0,0,0,0,0.5,0.75,0.99,0.68,0.5,0.23,0,0,0,0
2,NA,1417001371568,2,"none","trav",0.22,0.5,0.95,0.49,0.26,0,0,0,0,0,0,0,0,0,0
2,NA,1417001390564,2,"few","poem",0.7,0.76,0.99,0.48,0.22,0,0,0,0,0,0,0,0,0,0
2,NA,1417001419244,2,"many","book",0,0,0,0,0,0.21,0.46,0.44,0.7,0.69,0.76,0.73,0.99,0.71,0.45
2,NA,1417001442028,2,"many","bas",0,0,0,0,0,0.17,0.16,0.5,0.73,0.99,0.77,0.49,0.13,0,0
2,NA,1417001467800,2,"none","eat",0,0.21,0.44,0.99,0.75,0.18,0,0,0,0,0,0,0,0,0
3,NA,1417000841193,2,"few","girl",0.99,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
